group,user,kc,competency
4fe25833f555e9903d2bb6bbeec3fbfb,0157bc278747755031338f18c5ba4233,GMD.4,0.768539718
4fe25833f555e9903d2bb6bbeec3fbfb,0157bc278747755031338f18c5ba4233,CO.5,0.802876813
4fe25833f555e9903d2bb6bbeec3fbfb,0157bc278747755031338f18c5ba4233,CO.6,0.803442659
4fe25833f555e9903d2bb6bbeec3fbfb,0157bc278747755031338f18c5ba4233,MG.1,0.655687831
4fe25833f555e9903d2bb6bbeec3fbfb,0760db831ec82e0c4b3349f6045d9669,GMD.4,0.639296933
4fe25833f555e9903d2bb6bbeec3fbfb,0760db831ec82e0c4b3349f6045d9669,CO.5,0.651376178
4fe25833f555e9903d2bb6bbeec3fbfb,0760db831ec82e0c4b3349f6045d9669,CO.6,0.646953752
4fe25833f555e9903d2bb6bbeec3fbfb,0760db831ec82e0c4b3349f6045d9669,MG.1,0.655687831
4fe25833f555e9903d2bb6bbeec3fbfb,0b608ca6b3e7c2e5f31d7118cdc95a9b,GMD.4,0.523297058
4fe25833f555e9903d2bb6bbeec3fbfb,0b608ca6b3e7c2e5f31d7118cdc95a9b,CO.5,0.515399113
4fe25833f555e9903d2bb6bbeec3fbfb,0b608ca6b3e7c2e5f31d7118cdc95a9b,CO.6,0.50649954
4fe25833f555e9903d2bb6bbeec3fbfb,0b608ca6b3e7c2e5f31d7118cdc95a9b,MG.1,0.655687831
4fe25833f555e9903d2bb6bbeec3fbfb,12c016759e353d0bc14d1bccacba192c,GMD.4,0.655996103
4fe25833f555e9903d2bb6bbeec3fbfb,12c016759e353d0bc14d1bccacba192c,CO.5,0.670951235
4fe25833f555e9903d2bb6bbeec3fbfb,12c016759e353d0bc14d1bccacba192c,CO.6,0.667173333
4fe25833f555e9903d2bb6bbeec3fbfb,12c016759e353d0bc14d1bccacba192c,MG.1,0.655687831
4fe25833f555e9903d2bb6bbeec3fbfb,12e1e72e84bf81d1bb70ceaaff147ee1,GMD.4,0.709316367
4fe25833f555e9903d2bb6bbeec3fbfb,12e1e72e84bf81d1bb70ceaaff147ee1,CO.5,0.733454174
4fe25833f555e9903d2bb6bbeec3fbfb,12e1e72e84bf81d1bb70ceaaff147ee1,CO.6,0.731734227
4fe25833f555e9903d2bb6bbeec3fbfb,12e1e72e84bf81d1bb70ceaaff147ee1,MG.1,0.655687831
4fe25833f555e9903d2bb6bbeec3fbfb,1f29e9843acc97006c607d1d50465a1d,GMD.4,0.609944372
4fe25833f555e9903d2bb6bbeec3fbfb,1f29e9843acc97006c607d1d50465a1d,CO.5,0.616968597
4fe25833f555e9903d2bb6bbeec3fbfb,1f29e9843acc97006c607d1d50465a1d,CO.6,0.611413276
4fe25833f555e9903d2bb6bbeec3fbfb,1f29e9843acc97006c607d1d50465a1d,MG.1,0.655687831
4fe25833f555e9903d2bb6bbeec3fbfb,2085341eede3ffb7e2ffc72bbf0ae02b,GMD.4,0.767721571
4fe25833f555e9903d2bb6bbeec3fbfb,2085341eede3ffb7e2ffc72bbf0ae02b,CO.5,0.80360939
4fe25833f555e9903d2bb6bbeec3fbfb,2085341eede3ffb7e2ffc72bbf0ae02b,CO.6,0.802452036
4fe25833f555e9903d2bb6bbeec3fbfb,2085341eede3ffb7e2ffc72bbf0ae02b,MG.1,0.99994034
4fe25833f555e9903d2bb6bbeec3fbfb,24484165b531c64c3151df9e29945731,GMD.4,0.55588522
