group,user,task_id,timestamp,kc,kcs_importance,final_kc_competency,final_global_competency,current_competency,change_competency,probability,correct,difficulty,change_difficulty
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,1. One Box,2019-09-09 13:29:30.215461-04:00,GMD.4,0.333,0.877,0.919,0,0.095,0.5,1.0,0,-0.1
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,1. One Box,2019-09-09 13:29:30.215461-04:00,CO.5,0.333,0.895,0.919,0,0.095,0.5,1.0,0,-0.1
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,1. One Box,2019-09-09 13:29:30.215461-04:00,CO.6,0.333,0.906,0.919,0,0.095,0.5,1.0,0,-0.1
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,2. Separated Boxes,2019-09-09 13:30:02.612859-04:00,GMD.4,0.333,0.877,0.919,0.095,0.087,0.524,1.0,0,-0.095
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,2. Separated Boxes,2019-09-09 13:30:02.612859-04:00,CO.5,0.333,0.895,0.919,0.095,0.087,0.524,1.0,0,-0.095
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,2. Separated Boxes,2019-09-09 13:30:02.612859-04:00,CO.6,0.333,0.906,0.919,0.095,0.087,0.524,1.0,0,-0.095
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,3. Rotate a Pyramid,2019-09-09 13:31:08.542014-04:00,GMD.4,0.333,0.877,0.919,0.182,0.079,0.545,1.0,0,-0.091
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,3. Rotate a Pyramid,2019-09-09 13:31:08.542014-04:00,CO.5,0.333,0.895,0.919,0.182,0.079,0.545,1.0,0,-0.091
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,3. Rotate a Pyramid,2019-09-09 13:31:08.542014-04:00,CO.6,0.333,0.906,0.919,0.182,0.079,0.545,1.0,0,-0.091
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,4. Match Silhouettes,2019-09-09 13:35:20.500391-04:00,GMD.4,0.333,0.877,0.919,0.261,-0.094,0.565,0.0,0,0.113
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,4. Match Silhouettes,2019-09-09 13:35:20.500391-04:00,CO.5,0.333,0.895,0.919,0.261,-0.094,0.565,0.0,0,0.113
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,4. Match Silhouettes,2019-09-09 13:35:20.500391-04:00,CO.6,0.333,0.906,0.919,0.261,-0.094,0.565,0.0,0,0.113
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,Sugar Cones,2019-09-09 13:40:58.696219-04:00,GMD.4,0.333,0.877,0.919,0.167,-0.087,0.542,0.0,0,0.108
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,Sugar Cones,2019-09-09 13:40:58.696219-04:00,CO.5,0.333,0.895,0.919,0.167,-0.087,0.542,0.0,0,0.108
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,Sugar Cones,2019-09-09 13:40:58.696219-04:00,CO.6,0.333,0.906,0.919,0.167,-0.087,0.542,0.0,0,0.108
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,4. Match Silhouettes,2019-09-09 13:57:44.305751-04:00,GMD.4,0.333,0.877,0.919,0.08,0.078,0.492,1.0,0.113,-0.097
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,4. Match Silhouettes,2019-09-09 13:57:44.305751-04:00,CO.5,0.333,0.895,0.919,0.08,0.078,0.492,1.0,0.113,-0.097
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,4. Match Silhouettes,2019-09-09 13:57:44.305751-04:00,CO.6,0.333,0.906,0.919,0.08,0.078,0.492,1.0,0.113,-0.097
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,8. Combine 2 Ramps,2019-09-09 13:58:57.800000-04:00,GMD.4,0.333,0.877,0.919,0.158,0.068,0.539,1.0,0,-0.092
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,8. Combine 2 Ramps,2019-09-09 13:58:57.800000-04:00,CO.5,0.333,0.895,0.919,0.158,0.068,0.539,1.0,0,-0.092
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,8. Combine 2 Ramps,2019-09-09 13:58:57.800000-04:00,CO.6,0.333,0.906,0.919,0.158,0.068,0.539,1.0,0,-0.092
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,9. Scaling Round Objects,2019-09-09 14:00:21.974185-04:00,GMD.4,0.333,0.877,0.919,0.227,0.063,0.556,1.0,0,-0.089
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,9. Scaling Round Objects,2019-09-09 14:00:21.974185-04:00,CO.5,0.333,0.895,0.919,0.227,0.063,0.556,1.0,0,-0.089
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,9. Scaling Round Objects,2019-09-09 14:00:21.974185-04:00,CO.6,0.333,0.906,0.919,0.227,0.063,0.556,1.0,0,-0.089
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,Square Cross-Sections,2019-09-09 14:06:21.763356-04:00,GMD.4,0.333,0.877,0.919,0.29,0.059,0.572,1.0,0,-0.086
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,Square Cross-Sections,2019-09-09 14:06:21.763356-04:00,CO.5,0.333,0.895,0.919,0.29,0.059,0.572,1.0,0,-0.086
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,Square Cross-Sections,2019-09-09 14:06:21.763356-04:00,CO.6,0.333,0.906,0.919,0.29,0.059,0.572,1.0,0,-0.086
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,Bird Fez,2019-09-09 14:15:59.833742-04:00,MG.1,0.5,1.0,0.919,0,0.079,0.5,1.0,0,-0.118
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,Bird Fez,2019-09-09 14:15:59.833742-04:00,GMD.4,0.167,0.877,0.919,0.349,0.022,0.586,1.0,0,-0.033
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,Bird Fez,2019-09-09 14:15:59.833742-04:00,CO.5,0.167,0.895,0.919,0.349,0.022,0.586,1.0,0,-0.033
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,Bird Fez,2019-09-09 14:15:59.833742-04:00,CO.6,0.167,0.906,0.919,0.349,0.022,0.586,1.0,0,-0.033
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,Pi Henge,2019-09-09 14:16:07.639984-04:00,MG.1,0.5,1.0,0.919,0.079,0.073,0.52,1.0,0,-0.113
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,Pi Henge,2019-09-09 14:16:07.639984-04:00,GMD.4,0.167,0.877,0.919,0.371,0.021,0.592,1.0,0,-0.032
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,Pi Henge,2019-09-09 14:16:07.639984-04:00,CO.5,0.167,0.895,0.919,0.371,0.021,0.592,1.0,0,-0.032
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,Pi Henge,2019-09-09 14:16:07.639984-04:00,CO.6,0.167,0.906,0.919,0.371,0.021,0.592,1.0,0,-0.032
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,45-Degree Rotations,2019-09-09 14:16:20.090402-04:00,GMD.4,0.25,0.877,0.919,0.391,0.038,0.597,1.0,0,-0.061
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,45-Degree Rotations,2019-09-09 14:16:20.090402-04:00,CO.5,0.5,0.895,0.919,0.391,0.076,0.597,1.0,0,-0.121
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,45-Degree Rotations,2019-09-09 14:16:20.090402-04:00,CO.6,0.25,0.906,0.919,0.391,0.038,0.597,1.0,0,-0.061
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,Pyramids are Strange,2019-09-09 14:16:26.966471-04:00,GMD.4,0.333,0.877,0.919,0.429,0.048,0.606,1.0,0,-0.079
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,Pyramids are Strange,2019-09-09 14:16:26.966471-04:00,CO.5,0.333,0.895,0.919,0.467,0.047,0.615,1.0,0,-0.077
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,Pyramids are Strange,2019-09-09 14:16:26.966471-04:00,CO.6,0.333,0.906,0.919,0.429,0.048,0.606,1.0,0,-0.079
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,Boxes Obscure Spheres,2019-09-09 14:16:40.735280-04:00,GMD.4,0.25,0.877,0.919,0.477,-0.055,0.617,0.0,0,0.093
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,Boxes Obscure Spheres,2019-09-09 14:16:40.735280-04:00,CO.5,0.5,0.895,0.919,0.514,-0.111,0.626,0.0,0,0.188
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,Boxes Obscure Spheres,2019-09-09 14:16:40.735280-04:00,CO.6,0.25,0.906,0.919,0.477,-0.055,0.617,0.0,0,0.093
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,Boxes Obscure Spheres,2019-09-10 13:27:17.687579-04:00,GMD.4,0.25,0.877,0.919,0.422,0.036,0.582,1.0,0.093,-0.06
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,Boxes Obscure Spheres,2019-09-10 13:27:17.687579-04:00,CO.5,0.5,0.895,0.919,0.403,0.077,0.553,1.0,0.188,-0.129
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,Boxes Obscure Spheres,2019-09-10 13:27:17.687579-04:00,CO.6,0.25,0.906,0.919,0.422,0.036,0.582,1.0,0.093,-0.06
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,Object Limits,2019-09-10 13:40:42.438425-04:00,GMD.4,0.333,0.877,0.919,0.458,0.043,0.613,1.0,0,-0.077
