,group,user,task_id,puzzle_difficulty,completed,timestamp,active_time,percentileActiveTime,n_events,percentileEvents,n_check_solution,percentileAtt,percentileComposite,persistence,n_breaks,n_snapshot,n_rotate_view,n_manipulation_events,time_failed_submission_exit,avg_time_between_submissions,cum_weighted_difficulty_perc_composite,percentileCompositeAcrossAttempts,persistenceAcrossAttempts,cum_global_puzzle_attempts,cum_this_puzzle_attempt,cum_avg_perc_composite,cum_avg_persistence
cb71040b5bd1341a34afc24961536ebd~098f6bcd4621d373cade4e832627b4f6~Sandbox~1,cb71040b5bd1341a34afc24961536ebd,098f6bcd4621d373cade4e832627b4f6,Sandbox,1e-06,0.0,2019-09-06 15:04:55.942032-04:00,61.2,32.56,5.0,11.63,0.0,98.84,47.67,NO_BEHAVIOR,1.0,0.0,0.0,0.0,NA,NA,47.67,39.47,NORMAL_PERSISTANCE,1.0,1,47.67,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 0, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 100.0}"
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~1. One Box~1,cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,1. One Box,2e-06,1.0,2019-09-09 13:29:29.964185-04:00,37.44,44.33,13.0,52.0,1.0,100.0,65.44,NO_BEHAVIOR,1.0,0.0,0.0,1.0,NA,18.56,65.44,62.07,NORMAL_PERSISTANCE,1.0,1,65.44,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 0, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 100.0}"
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~2. Separated Boxes~1,cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,2. Separated Boxes,0.111127,1.0,2019-09-09 13:30:02.060673-04:00,72.36,52.16,14.0,21.58,2.0,62.95,45.56,NO_BEHAVIOR,2.0,0.0,0.0,3.0,NA,30.16,45.56,37.93,NORMAL_PERSISTANCE,2.0,1,55.5,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 0, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 100.0}"
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~3. Rotate a Pyramid~1,cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,3. Rotate a Pyramid,0.083447,1.0,2019-09-09 13:31:08.104106-04:00,252.13,93.07,70.0,85.4,4.0,91.61,90.02,PRODUCTIVE_PERSISTANCE,3.0,0.0,0.0,38.0,NA,61.45,64.63,96.55,MORE_PERSISTANCE_THAN_NORMAL,3.0,1,67.01,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 33.33, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 66.67}"
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~4. Match Silhouettes~1,cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,4. Match Silhouettes,0.061887,0.0,2019-09-09 13:35:19.373383-04:00,304.14,86.57,126.0,86.94,1.0,61.19,78.23,UNPRODUCTIVE_PERSISTANCE,0.0,0.0,56.0,20.0,2.77,279.71,67.91,72.41,NORMAL_PERSISTANCE,4.0,1,69.82,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 25.0, ""UNPRODUCTIVE_PERSISTANCE"": 25.0, ""NO_BEHAVIOR"": 50.0}"
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~3. Rotate a Pyramid~2,cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,3. Rotate a Pyramid,0.083447,0.0,2019-09-09 13:40:23.421491-04:00,8.64,0.73,4.0,1.09,0.0,2.92,1.58,NON_PERSISTANT,0.0,0.0,0.0,0.0,NA,NA,51.63,3.45,LESS_PERSISTANCE_THAN_NORMAL,5.0,2,56.17,"{""NON_PERSISTANT "": 20.0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 20.0, ""UNPRODUCTIVE_PERSISTANCE"": 20.0, ""NO_BEHAVIOR"": 40.0}"
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~4. Match Silhouettes~2,cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,4. Match Silhouettes,0.061887,0.0,2019-09-09 13:40:32.111635-04:00,24.23,10.82,10.0,1.87,0.0,1.87,4.85,NON_PERSISTANT,0.0,0.0,0.0,2.0,NA,NA,44.42,6.9,LESS_PERSISTANCE_THAN_NORMAL,6.0,2,47.62,"{""NON_PERSISTANT "": 33.33, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 16.67, ""UNPRODUCTIVE_PERSISTANCE"": 16.67, ""NO_BEHAVIOR"": 33.33}"
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Sugar Cones~1,cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,Sugar Cones,0.085909,0.0,2019-09-09 13:40:56.260259-04:00,175.18,95.49,67.0,93.23,1.0,62.41,83.71,UNPRODUCTIVE_PERSISTANCE,0.0,0.0,12.0,26.0,2.83,164.38,51.34,86.21,MORE_PERSISTANCE_THAN_NORMAL,7.0,1,52.77,"{""NON_PERSISTANT "": 28.57, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 14.29, ""UNPRODUCTIVE_PERSISTANCE"": 28.57, ""NO_BEHAVIOR"": 28.57}"
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Bear Market~1,cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,Bear Market,1.0,0.0,2019-09-09 13:43:51.554516-04:00,66.88,58.39,24.0,55.47,0.0,69.34,61.07,NO_BEHAVIOR,0.0,0.0,0.0,7.0,NA,NA,57.88,55.17,NORMAL_PERSISTANCE,8.0,1,53.81,"{""NON_PERSISTANT "": 25.0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 12.5, ""UNPRODUCTIVE_PERSISTANCE"": 25.0, ""NO_BEHAVIOR"": 37.5}"
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~9. Scaling Round Objects~1,cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,9. Scaling Round Objects,0.128647,0.0,2019-09-09 13:44:58.463226-04:00,197.41,70.37,68.0,59.72,0.0,5.56,45.22,NO_BEHAVIOR,0.0,0.0,0.0,22.0,NA,NA,56.87,34.48,NORMAL_PERSISTANCE,9.0,1,52.85,"{""NON_PERSISTANT "": 22.22, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 11.11, ""UNPRODUCTIVE_PERSISTANCE"": 22.22, ""NO_BEHAVIOR"": 44.44}"
