,group,user,task_id,completed,active_time,percentileActiveTime,percTimeAbove85,percTimeBelow15,ws-check_solution,percentileAtt,percAttAbove85,percAttBelow15,totalUserPersistence
4fe25833f555e9903d2bb6bbeec3fbfb~0157bc278747755031338f18c5ba4233~1. One Box,4fe25833f555e9903d2bb6bbeec3fbfb,0157bc278747755031338f18c5ba4233,1. One Box,1.0,88.181258,75.45787545787546,False,False,1,51.0989010989011,True,True,0.0
4fe25833f555e9903d2bb6bbeec3fbfb~0157bc278747755031338f18c5ba4233~2. Separated Boxes,4fe25833f555e9903d2bb6bbeec3fbfb,0157bc278747755031338f18c5ba4233,2. Separated Boxes,1.0,114.14047300000001,72.0754716981132,False,False,3,72.64150943396227,False,False,0.0
4fe25833f555e9903d2bb6bbeec3fbfb~0157bc278747755031338f18c5ba4233~3. Rotate a Pyramid,4fe25833f555e9903d2bb6bbeec3fbfb,0157bc278747755031338f18c5ba4233,3. Rotate a Pyramid,1.0,54.36387,41.26984126984127,False,False,1,21.825396825396826,False,True,0.0
4fe25833f555e9903d2bb6bbeec3fbfb~0157bc278747755031338f18c5ba4233~4. Match Silhouettes,4fe25833f555e9903d2bb6bbeec3fbfb,0157bc278747755031338f18c5ba4233,4. Match Silhouettes,1.0,643.343008,96.7479674796748,True,False,3,80.89430894308943,False,False,0.0
4fe25833f555e9903d2bb6bbeec3fbfb~0157bc278747755031338f18c5ba4233~5. Removing Objects,4fe25833f555e9903d2bb6bbeec3fbfb,0157bc278747755031338f18c5ba4233,5. Removing Objects,1.0,131.162303,49.17355371900826,False,False,1,25.619834710743802,False,True,0.0
4fe25833f555e9903d2bb6bbeec3fbfb~0157bc278747755031338f18c5ba4233~6. Stretch a Ramp,4fe25833f555e9903d2bb6bbeec3fbfb,0157bc278747755031338f18c5ba4233,6. Stretch a Ramp,1.0,178.25294499999995,70.17543859649123,False,False,2,51.75438596491228,False,False,0.0
4fe25833f555e9903d2bb6bbeec3fbfb~0157bc278747755031338f18c5ba4233~7. Max 2 Boxes,4fe25833f555e9903d2bb6bbeec3fbfb,0157bc278747755031338f18c5ba4233,7. Max 2 Boxes,1.0,54.96673100000001,46.60633484162896,False,False,1,31.67420814479638,False,True,0.0
4fe25833f555e9903d2bb6bbeec3fbfb~0157bc278747755031338f18c5ba4233~8. Combine 2 Ramps,4fe25833f555e9903d2bb6bbeec3fbfb,0157bc278747755031338f18c5ba4233,8. Combine 2 Ramps,0.0,84.59894800000001,49.30875576036866,False,False,2,80.64516129032258,True,False,0.0
4fe25833f555e9903d2bb6bbeec3fbfb~0760db831ec82e0c4b3349f6045d9669~1. One Box,4fe25833f555e9903d2bb6bbeec3fbfb,0760db831ec82e0c4b3349f6045d9669,1. One Box,1.0,419.93479699999983,99.26739926739927,True,False,1,51.0989010989011,True,True,25.0
4fe25833f555e9903d2bb6bbeec3fbfb~0760db831ec82e0c4b3349f6045d9669~2. Separated Boxes,4fe25833f555e9903d2bb6bbeec3fbfb,0760db831ec82e0c4b3349f6045d9669,2. Separated Boxes,1.0,133.33345999999997,76.98113207547169,False,False,3,72.64150943396227,False,False,25.0
4fe25833f555e9903d2bb6bbeec3fbfb~0760db831ec82e0c4b3349f6045d9669~3. Rotate a Pyramid,4fe25833f555e9903d2bb6bbeec3fbfb,0760db831ec82e0c4b3349f6045d9669,3. Rotate a Pyramid,1.0,47.95873100000001,35.317460317460316,False,False,1,21.825396825396826,False,True,25.0
4fe25833f555e9903d2bb6bbeec3fbfb~0760db831ec82e0c4b3349f6045d9669~4. Match Silhouettes,4fe25833f555e9903d2bb6bbeec3fbfb,0760db831ec82e0c4b3349f6045d9669,4. Match Silhouettes,1.0,95.97578500000002,60.97560975609756,False,False,5,89.63414634146342,True,False,25.0
4fe25833f555e9903d2bb6bbeec3fbfb~0b608ca6b3e7c2e5f31d7118cdc95a9b~1. One Box,4fe25833f555e9903d2bb6bbeec3fbfb,0b608ca6b3e7c2e5f31d7118cdc95a9b,1. One Box,1.0,102.57896799999999,80.95238095238095,False,False,1,51.0989010989011,True,True,14.29
4fe25833f555e9903d2bb6bbeec3fbfb~0b608ca6b3e7c2e5f31d7118cdc95a9b~2. Separated Boxes,4fe25833f555e9903d2bb6bbeec3fbfb,0b608ca6b3e7c2e5f31d7118cdc95a9b,2. Separated Boxes,1.0,67.84067999999999,44.15094339622642,False,False,1,16.79245283018868,False,True,14.29
4fe25833f555e9903d2bb6bbeec3fbfb~0b608ca6b3e7c2e5f31d7118cdc95a9b~3. Rotate a Pyramid,4fe25833f555e9903d2bb6bbeec3fbfb,0b608ca6b3e7c2e5f31d7118cdc95a9b,3. Rotate a Pyramid,1.0,157.10826799999995,80.55555555555556,False,False,1,21.825396825396826,False,True,14.29
4fe25833f555e9903d2bb6bbeec3fbfb~0b608ca6b3e7c2e5f31d7118cdc95a9b~4. Match Silhouettes,4fe25833f555e9903d2bb6bbeec3fbfb,0b608ca6b3e7c2e5f31d7118cdc95a9b,4. Match Silhouettes,1.0,1182.7360519999995,100.0,True,False,14,98.17073170731707,True,False,14.29
4fe25833f555e9903d2bb6bbeec3fbfb~0b608ca6b3e7c2e5f31d7118cdc95a9b~5. Removing Objects,4fe25833f555e9903d2bb6bbeec3fbfb,0b608ca6b3e7c2e5f31d7118cdc95a9b,5. Removing Objects,1.0,60.419549,22.727272727272727,False,False,1,25.619834710743802,False,True,14.29
4fe25833f555e9903d2bb6bbeec3fbfb~0b608ca6b3e7c2e5f31d7118cdc95a9b~6. Stretch a Ramp,4fe25833f555e9903d2bb6bbeec3fbfb,0b608ca6b3e7c2e5f31d7118cdc95a9b,6. Stretch a Ramp,0.0,106.82554499999999,49.12280701754386,False,False,0,1.5350877192982457,False,True,14.29
